Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/extensao48,20.0,1.0,Segunda edição da série Extensão 48 - Coronavírus aborda pesquisas realizadas no Instituto de Biologia (IB).,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,21.0,1.0,05/05/2020,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,22.0,1.0,A série Extensão 48 - Coronavirus é uma produção da Diretoria de Comunicação da Pro-reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,23.0,1.0,28/11/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,24.0,1.0,Extensão 48 aborda Projeto da FEF - UNICAMP,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,25.0,1.0,28/11/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,26.0,1.0,Capacitação de Produtoras Rurais para o Processamento de Alimentos oriundos da Agricultura Familiar.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,27.0,1.0,01/11/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,28.0,1.0,Extensão 48 aborda projeto da Feagri junto à comunidade agrícola do acampamento Elizabeth Teixeira.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,29.0,1.0,01/11/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,30.0,1.0,Extensão 48 aborda educação popular de funcionários terceirizados junto a estudantes da Unicamp.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,31.0,1.0,04/10/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,32.0,1.0,Extensão 48 aborda a utilização da linguagem de programação no ensino de crianças e jovens.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,33.0,1.0,03/09/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,34.0,1.0,Grupo de pesquisa do IEL atua com as comunidades Indígenas no processo de revitalização dessas línguas.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,35.0,1.0,22/08/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,36.0,1.0,Extensão 48 aborda avanços no diagnóstico de melanoma.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,37.0,1.0,01/08/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,38.0,1.0,A cerimônia de premiação de 254 medalhistas da Olimpíada Brasileira de Matemática das Escolas Públicas.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,39.0,1.0,18/07/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,40.0,1.0,Diagnóstico validado em escolas desde 2010 deve chegar à sociedade no segundo semestre.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,41.0,1.0,18/06/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,42.0,1.0,Projeto realizado há mais de dez anos auxilia na disseminação da cultura local.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,43.0,1.0,03/06/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,44.0,1.0,Método desenvolvido no IC-Unicamp utiliza rede neural para processar e analisar imagens do cérebro feitas por ressonância magnética.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,45.0,1.0,26/04/2019,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,46.0,1.0,Projeto Educativo de Integração Social reintegra adultos ao universo dos estudos.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,47.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,47.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
