Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan,URL,Paragraph,Sentence
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Localização Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Conecte-se Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,1.0,"O Espaço Cultural Casa do Lago é um órgão da Diretoria de Cultura, da Pró-reitoria de Extensão e Cultura, da Universidade Estadual de Campinas, cuja missão é estimular as produções artísticas e culturais e os projetos de extensão da comunidade universitária – formada por docentes, discentes, técnico-administrativos e pesquisadores – nas mais diversas vertentes da cultura, aqui entendida em sua forma mais abrangente."
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,1.0,"Com isso, proporcionar à comunidade eventos relevantes e de qualidade, democratizando e ampliando cada vez mais o acesso à cultura, incentivando e difundindo as diversas linguagens e tendências artísticas"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,2.0,A Diretoria de Cultura da Pró-Reitoria de Extensão e Assuntos Comunitários da Unicamp compreende a cultura como parte estruturante da sociedade.
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,3.0,Fique por dentro de nossas atividades
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,4.0,NOTÍCIA
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,5.0,Publicado em 29/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,6.0,NOTÍCIA
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,7.0,Publicado em 26/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,8.0,NOTÍCIA
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,9.0,Publicado em 24/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,10.0,NOTÍCIA
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,11.0,Publicado em 23/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,12.0,PROEC
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,13.0,26/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,14.0,PROEC
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,15.0,29/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,16.0,PROEC
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,17.0,29/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,18.0,PROEC
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,19.0,26/05/2023
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,20.0,DESTAQUE
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,21.0,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,22.0,#SomosPROEC
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,23.0,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,24.0,Espaço Cultural Casa do Lago
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,25.0,Coordenação - Silvana Di Blasio
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,26.0,+55 19 3521-1708 / 1-7017
